"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","1.3. DR for multiple parent and child locations - starting with Parent loc - No Discrepancies Found","Inventory Reports","Wed May 14 21:14:08 UTC 2025","skipped","Wed May 14 21:14:08 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","0","4 Validation messages for wrongly formatted values","","Wed May 14 21:14:21 UTC 2025","skipped","Wed May 14 21:14:21 UTC 2025","","Import Legacy Chain of Custody","",""
"","42237","1.1.4 validation message for inactive user account","Add User","Wed May 14 21:50:39 UTC 2025","passed","Wed May 14 21:51:21 UTC 2025","","1.1 Org Admin","",""
"","1","1.2 Org Admin-- minimum case fields -- redirect to Add Case page again","Add Case","Wed May 14 21:14:23 UTC 2025","skipped","Wed May 14 21:14:23 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","686","I.U_1 Import and verify User with all fields","","Wed May 14 21:15:34 UTC 2025","failed","Wed May 14 21:15:34 UTC 2025","","Import Users","",""
"","71294","3.4 --- Duplicating item with Currency Form attached","Add Item","Wed May 14 21:33:49 UTC 2025","passed","Wed May 14 21:35:01 UTC 2025","","3 Add Item with Custom Form","",""
"","0","1.4. Create and run DR for multiple parent and child locations - starting with Child loc -  No Discrepancies Found","Inventory Reports","Wed May 14 21:14:08 UTC 2025","skipped","Wed May 14 21:14:08 UTC 2025","","1. Parent/child locations with items but without containers","",""
"","34853","1.5. Add item from Scan page -- redirect to Item View/Media tab","Add Item","Wed May 14 21:26:35 UTC 2025","passed","Wed May 14 21:27:10 UTC 2025","","1. Org Admin","",""
"","82547","3.1. --- with required Custom Form filled out, all required fields on Form","Add Person","Wed May 14 21:43:40 UTC 2025","failed","Wed May 14 21:45:03 UTC 2025","","3. Add Person with Custom Form","",""
"","23627","1.3. Business Name populated only -- redirect to Add Item page","Add Person","Wed May 14 21:42:45 UTC 2025","passed","Wed May 14 21:43:08 UTC 2025","","1. Org Admin","",""
"","1","2 Import Legacy Chain of Custody - Precheck Only","","Wed May 14 21:14:21 UTC 2025","skipped","Wed May 14 21:14:21 UTC 2025","","Import Legacy Chain of Custody","",""
"","19522","8. Add a Case with disabled fields & check if required fields are displayed properly on Case Edit page after enabling","","Wed May 14 21:21:00 UTC 2025","passed","Wed May 14 21:21:19 UTC 2025","","Edit Case","",""
"","30114","6.1 verify Auto Assigned Case Number with Default Case Number Prefix","Add Case","Wed May 14 21:19:04 UTC 2025","passed","Wed May 14 21:19:34 UTC 2025","","6. --- with Auto Assigned Case Number ","",""
"","662","1. Import and verify People with all fields - 1 person linked to 1 case, other person linked to 2 cases","","Wed May 14 21:15:14 UTC 2025","failed","Wed May 14 21:15:14 UTC 2025","","Import People","",""
"","644","2. Import and verify Person with minimum fields","","Wed May 14 21:15:14 UTC 2025","failed","Wed May 14 21:15:15 UTC 2025","","Import People","",""
"","115250","3.2 --- with required Custom Form but not filled out, all optional fields on Form","Add Item","Wed May 14 21:31:01 UTC 2025","failed","Wed May 14 21:32:56 UTC 2025","","3 Add Item with Custom Form","",""
"","105979","1 Edit newly added user, change all values, verify on the grid, and check all/active/inactive filters","","Wed May 14 21:29:31 UTC 2025","failed","Wed May 14 21:31:17 UTC 2025","","Edit User","",""
"","0","7. Item Updates Import - Precheck Only","","Wed May 14 21:14:02 UTC 2025","skipped","Wed May 14 21:14:02 UTC 2025","","Import Item Updates","",""
"","9340","1.1.3 validation message for missing permissions","Add User","Wed May 14 21:50:29 UTC 2025","failed","Wed May 14 21:50:39 UTC 2025","","1.1 Org Admin","",""
"","1","1 Import Legacy Chain of Custody - Checked In transaction","","Wed May 14 21:14:21 UTC 2025","broken","Wed May 14 21:14:21 UTC 2025","","Import Legacy Chain of Custody","",""
"","7636","1.9. Only active people should show up in ""Recovered By"" field when searching by first/middle/last name or email","Add Item","Wed May 14 21:29:16 UTC 2025","failed","Wed May 14 21:29:23 UTC 2025","","1. Org Admin","",""
"","542","1.1 Email & Task - when Case created - all records - 1 user as email recipient","Workflows","Wed May 14 21:15:37 UTC 2025","failed","Wed May 14 21:15:38 UTC 2025","","1. Case Workflows - all case fields enabled in Org Settings","",""
"","14142","1.1.1 Add task with required fields only -- Unassigned-- keep template content-- search for task on the grid by Creator name-- verify values on grid","Add Task","Wed May 14 21:47:20 UTC 2025","failed","Wed May 14 21:47:34 UTC 2025","","1.1 Org Admin","",""
"","29355","3.1 verify Office Case Number Format with default validation message","Add Case","Wed May 14 21:16:14 UTC 2025","failed","Wed May 14 21:16:44 UTC 2025","","3. --- with Case Number formatting in Office ","",""
"","798","I.T_1.1 Import Legacy Tasks for Case","","Wed May 14 21:14:29 UTC 2025","failed","Wed May 14 21:14:30 UTC 2025","","Import Tasks","",""
"","604","1 Import Media","","Wed May 14 21:14:51 UTC 2025","failed","Wed May 14 21:14:52 UTC 2025","","Import Media","",""
"","720","7 Validation messages for wrongly formatted values","","Wed May 14 21:15:03 UTC 2025","failed","Wed May 14 21:15:04 UTC 2025","","Import Notes","",""
"","0","1.4 Org Admin-- minimum case fields -- redirect to Add Person page","Add Case","Wed May 14 21:14:23 UTC 2025","skipped","Wed May 14 21:14:23 UTC 2025","","1. --- No Case Number formatting in Org/Office, AutoDispo ON","",""
"","1","2 Import Person with all updated fields - Precheck Only","","Wed May 14 21:15:24 UTC 2025","skipped","Wed May 14 21:15:24 UTC 2025","","Import People Updates","",""
"","11895","3.2 verify Office Case Number Format with custom validation message","Add Case","Wed May 14 21:16:44 UTC 2025","passed","Wed May 14 21:16:55 UTC 2025","","3. --- with Case Number formatting in Office ","",""
"","0","4. Import update for item status (Disposal transaction)","","Wed May 14 21:14:02 UTC 2025","skipped","Wed May 14 21:14:02 UTC 2025","","Import Item Updates","",""
